,user,text
0,ANI,Sources: Indian Premier League (IPL)-2020 postponed till April 15. #Coronavirus
1,Mr_Rizz_Mangwai,"I doubt that we just got our first #coronavirus case in Kenya. 
 
Anyway, ukikohoa karibu na mimi..."
2,MrMasonMills,"Stay at home: guidance for people with confirmed or possible coronavirus (COVID-19) infection

https://gov.uk/government/publications/covid-19-stay-at-home-guidance/stay-at-home-guidance-for-people-with-confirmed-or-possible-coronavirus-covid-19-infection…
#Coronavirus #COVID19
#WashYourHands #SelfIsolate"
3,ArtBristow,One for @mrs_coyle #coronavirus
4,Chinmay16101200,Let’s hope for best #coronavirus
5,karbolo,It's Friday the 13th and just shit got real #coronavirus just knocked the Kenyan door #coronavirusinKenya
6,YashGup95657742,"Breaking News
#VIVOIPL suspended till 15th April due to precautionary measures for #coronavirus"
7,toobattuta,"Ottoman rising 
@RTErdogan Reis is a trend setter 
#coronavirus"
8,appcsocialmedia,"Lawmakers demand joint session of parliament to discuss strategy against #Coronavirus
#APPNews @NAofPakistan
https://app.com.pk/lawmakers-demand-joint-session-of-parliament-to-discuss-strategy-against-coronavirus/… via @appcsocialmedia"
9,leyito5i5a,"Prevention is better than cure,  protect yourself #coronavirus #pandemic @tundeednut https://instagram.com/p/B9qzZ9_AGrQ/?igshid=1i49tnsicng5t…"
10,cherrie2502,"Thank you, @jasonleitch, for your clear, honest, patient, sensible, calm advice on #coronavirus. It is greatly appreciated. #bbcgms"
11,pottolama,"The Folks over at @OurWorldInData are doing a damn fine job to help everyone visualize and understand the scope of this pandemic. 
GO READ IT. Cause We need to take action.
NOW.
Big props to @MaxCRoser and all the Team.
#coronavirus"
12,BeechinorFallan,"This is how @NiamhParker4 and our daughters deal with #coronavirus
#staypositive we can beat this 
@AltadaSolutions @Beacon_Privacy"
13,newpubusa,RT @christiehenry: Essential #coronavirus reading....
14,BoimaAndSwhin,There are all types of good #coronavirus test  yal Need to stop #COVID19mx #CoronavirusPandemic
15,alasdair_clark,This melted my heart. Colin at Markinch train station offering to check in on his elderly customers during #coronavirus. Give him a medal @ScotRail
16,MatthiasLaverge,"They knew it was coming...
#coronavirus #downtheroad"
17,TS190397,I just signed a petition to demand paid special leave for all Australian workers affected by Covid-19 #coronavirus #auspol Pls sign & RT >> https://megaphone.org.au/petitions/coronovirus-support-paid-sick-leave-for-casual-workers?bucket=&source=twitter-share-button&utm_campaign=4862206424-EMAIL_CAMPAIGN_2020_03_13_12_41&utm_source=twitter&share=df4403c2-9fa3-468b-8d0a-fc2ca7d8ae1c… via @MegaphoneAU
18,rapplerdotcom,"Let's take the time to thank all the scientists, experts, and public health professionals around the world who are working tirelessly on the #coronavirus. 

Thank you for your courage and service! #CourageOn"
19,NicolaSturgeon,"From today, if you have a fever or persistent cough, stay at home for at least 7 days. It’s the best way for us all to protect others, particularly those most at risk of serious illness. This is a tough situation but if we look out for each other, we’ll save lives. #coronavirus"
20,ahmed_hamadeh,"Creativity at it's best 

#COVID19
#coronavirus"
21,ManoajMore,Don't let #Coronavirus impact #BusinessContinuity. Sign up now for 3 months of free @ALUEnterprise Rainbow Enterprise and keep your teams connected 24/7. http://bit.ly/2IJvfwg
22,Mia121Mia,"AIIMS Director Dr. Randeep Guleria explains 

#coronavirus
@MoHFW_INDIA
#CoronavirusPandemic"
23,Vipul168,"Check this Out  RT @schmarzo: #SchmarzoSpeaks If we realize nothing else from #coronavirus crisis, I hope we realize the need to make policy deci… https://twitter.com/i/web/status/1238217950391230465…"
24,ElmzouartHicham,"Hey 
@Ministere_Sante @Elotmanisaad what do you thinking about what he says about #coronavirus ?"
25,abhinav23087993,"Is The #World Going To END?

#coronavirus
@WHO"
26,AyoBankole,My heart deeply goes out to Sophie and Justin Trudeau. This #CoronaVirus thing keeps hitting harder. I pray for strength for them. You mean a lot to many Nigerians than you know. May God grant Sophie speedy recovery. God got you. 
27,CapiliReggie,Singles are Blessed! #CoronavirusPandemic #coronavirus #CoronaVirusUpdate
28,WHOWPRO,"Most people infected with #COVID19 will only have mild symptoms and fully recover. Yet, some people are more at risk. 

We all have a role to play protecting ourselves and others. #coronavirus"
29,AdvaitaKala,Shameful. Hand sanitiser can be made at home - a friend of mine is doing it. Here is a recipe - Combine in a bowl: two thirds of a cup of rubbing alcohol (99% isopropyl alcohol) and one third of a cup of aloe vera gel. Stir. Decant. #CoronaVirus
30,vmw_rupesh,"All schools in #SantaClara needs to close to prevent from spreading #coronavirus 66 confirmed cases 16 community transfer https://medium.com/@tomaspueyo/coronavirus-act-today-or-people-will-die-f4d3d9cd99ca… act now Sara Cody, MD @MaryAnnDewan"
31,JoezMcfLy,In case your local mart runs out of toilet paper due to the #coronavirus  these are safe alternatives.. #ThankMeLater
32,timbucks2,"The #Coronavirus Can 
""Licka My Ball Bagga"" ..................
      0 0
&
So Can YOU #MadameX
@Madonna
He he he he he he !!!
  From 666"
33,evanasmith,".@ewaltersTX: Why is it so tough to get a #coronavirus test in Texas? Also, why won’t the state tell us how many people have been tested? https://texastribune.org/2020/03/12/how-many-texas-coronavirus-tests-have-been-done-few/… #txlege"
34,RonaldKlain,"Facts:  The Obama administration tested 1 million people for H1N1 in the first month after the first US diagnosed case.

The first US #coronavirus case was 50+ days ago.  And we haven't event tested 10,000 people yet."
35,ChrisLu44,"Despite Florida governor warning against mass gatherings, Mar-a-Lago will continue to host large events. This follows a Brazilian official who was at the club testing positive for #coronavirus 

It's always about money, instead of setting a good example"
36,kanzz21,White blood cells fighting off the corona virus like: #coronavirus
37,RepSwalwell,"Every day @realDonaldTrump, @HouseGOP & @SenateGOP delay a #coronavirus stimulus package, people will get sicker and our economy weaker. Enough is enough. It’s time for free testing for all and sick leave for families affected. RT if you agree. #FamiliesFirst"
38,Franklin_Graham,"Check out this great @FoxNews article from my friend @GregLaurie on the #coronavirus. “I am a pastor -- not a politician or a doctor -- so in times of uncertainty, I look to Jesus’ words for comfort & guidance…”"
39,noahgo,Somehow reassuring in the midst of #coronavirus shopping frenzy to know that people still have the sense *not* to buy #chocolatehummus and buffalo hummus. #traderjoes #dc
40,cenkuygur,"Question for @JoeBiden no one in media will ask because they protect him: If someone has #coronavirus & they can't afford their deductible, what would you do for them? Follow-up: If you'd cover them because they might die, why not cover them in other cases where they might die?"
41,AJTw33ts,Remember when @KellyannePolls called #coronavirus contained last week? #TBT
42,roriforyou,Good job .@cnnphilippines for updating! #coronavirus #news
43,haley_ballez,Pretty sure this is who started the #coronavirus
44,DrGJackBrown,"The U.S. must learn from Italy and China. We need to shut down all schools. Now.

#flatteningthecurve #Coronavirus #COVID19"
